Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,acc_term,theta,M
4,5,5,0.6545,0.0124358353157,0.000961616986525,0.049909290491,3.953,0.00328633534503,SM-runs,0.049909290491,0.991059907834,0.0592885611228,-10,0.3,3
4,5,5,0.0123,0.00654293512118,0.00559565300974,0.994551945567,11.766,0.271951466258,SM-runs,0.994551945567,0.997550886858,0.995049106419,-10,0.3,5
4,5,5,0.0124,0.00743236167042,0.00582859105429,0.995072017895,11.7808,0.2541868604,SM-runs,0.995072017895,0.997390008968,0.995456875577,-10,0.3,100
4,5,5,0.1401,0.0273146480849,0.0835770626664,0.986001253447,7.198,0.156335536587,SM-runs,0.986001253447,0.962917304961,0.982071618895,gt,0.3,3
4,5,5,0.1337,0.0292200273785,0.0797516231005,0.987334688569,7.2262,0.219327973592,SM-runs,0.987334688569,0.964480503654,0.98343661619,gt,0.3,5
4,5,5,0.124,0.0295194850904,0.0760910334835,0.988439544619,7.1487,0.161031083956,SM-runs,0.988439544619,0.967306208711,0.984847940055,gt,0.3,100
5,5,5,0.6641,0.0179913868281,0.00401130259859,0.0515949832851,3.9762,0.00146969384567,SM-runs,0.0515949832851,0.96803530319,0.0612595080317,-10,0.3,3
5,5,5,0.0162,0.00855336191214,0.00831882897248,0.995323620982,10.8338,0.190918726164,SM-runs,0.995323620982,0.996216884671,0.995470852503,-10,0.3,5
5,5,5,0.0135,0.00533385414124,0.00610409890361,0.994211037974,10.8507,0.199452274993,SM-runs,0.994211037974,0.997232236063,0.994712315273,-10,0.3,100
5,5,5,0.1011,0.028987756036,0.0598489954968,0.988944884664,6.9701,0.12587966476,SM-runs,0.988944884664,0.973250911673,0.9862892053,gt,0.3,3
5,5,5,0.109,0.030321609456,0.0645960191357,0.991193850422,6.9323,0.1588679011,SM-runs,0.991193850422,0.970447686498,0.987663722635,gt,0.3,5
5,5,5,0.1163,0.0217211878128,0.0687741272326,0.988587358896,7.096,0.0594777269236,SM-runs,0.988587358896,0.968919453276,0.985251244538,gt,0.3,100
6,5,5,0.5938,0.195315539576,0.00292988334669,0.144023913484,4.6231,1.86730037487,SM-runs,0.144023913484,0.977530006787,0.152478150395,-10,0.3,3
6,5,5,0.0144,0.00704556598152,0.00626940175564,0.992982113507,10.042,0.116972646375,SM-runs,0.992982113507,0.997261782823,0.99369160472,-10,0.3,5
6,5,5,0.0111,0.00628410693735,0.00505168017949,0.994866416391,9.9727,0.14316637175,SM-runs,0.994866416391,0.997860439357,0.995362883536,-10,0.3,100
6,5,5,0.0767,0.02591929783,0.0450475360886,0.990981328792,6.9372,0.124309935243,SM-runs,0.990981328792,0.979727061731,0.989080690202,gt,0.3,3
6,5,5,0.0892,0.0274364720764,0.05442062405,0.990371837638,6.918,0.0863110653393,SM-runs,0.990371837638,0.976667691651,0.98805635108,gt,0.3,5
6,5,5,0.0887,0.018493512376,0.0534241541351,0.989593729135,6.937,0.157893001745,SM-runs,0.989593729135,0.976835080823,0.987441863869,gt,0.3,100
7,5,5,0.6653,0.0142551744991,0.00231689058091,0.0470941610533,4.0256,0.0012,SM-runs,0.0470941610533,0.978290495084,0.055968084971,-10,0.3,3
7,5,5,0.0106,0.00648382603098,0.0047084744036,0.994800018778,10.0187,0.224329244638,SM-runs,0.994800018778,0.998001814334,0.99533058835,-10,0.3,5
7,5,5,0.011,0.00584807660689,0.00496686442584,0.994918810399,9.9168,0.232495505333,SM-runs,0.994918810399,0.997842098302,0.995403408256,-10,0.3,100
7,5,5,0.0699,0.0260478406015,0.0418499612054,0.992911167248,6.8877,0.0942200084908,SM-runs,0.992911167248,0.981402786993,0.990965887026,gt,0.3,3
7,5,5,0.0694,0.0246868385987,0.0406604355391,0.991439005627,6.8751,0.12539573358,SM-runs,0.991439005627,0.981733934907,0.98980241208,gt,0.3,5
7,5,5,0.0658,0.0198030300712,0.0409163051853,0.993814290492,6.8392,0.192560016618,SM-runs,0.993814290492,0.982601110139,0.991923163604,gt,0.3,100
8,5,5,0.5298,0.257115849375,0.00405138834043,0.237811794255,5.2431,2.38688447353,SM-runs,0.237811794255,0.975337291753,0.245219350138,-10,0.3,3
8,5,5,0.0102,0.00489489530021,0.00444662985818,0.995329612829,9.9342,0.135131639522,SM-runs,0.995329612829,0.997951632382,0.995764241969,-10,0.3,5
8,5,5,0.0084,0.00276405499222,0.00289486326003,0.994356481814,9.9128,0.122909560247,SM-runs,0.994356481814,0.998688129409,0.995074899102,-10,0.3,100
8,5,5,0.0738,0.0190724932822,0.0443441664718,0.99167955467,6.8405,0.112561316623,SM-runs,0.99167955467,0.980612848885,0.989808191812,gt,0.3,3
8,5,5,0.059,0.02001999001,0.0355410651123,0.993482524296,6.8276,0.0836016746244,SM-runs,0.993482524296,0.984439455388,0.991959532227,gt,0.3,5
8,5,5,0.0547,0.0161867229543,0.0330217679499,0.993236893413,6.7574,0.114863571249,SM-runs,0.993236893413,0.98577161224,0.991982733468,gt,0.3,100
9,5,5,0.665,0.0122474487139,0.00355903739738,0.0480390838451,4.0753,0.0009,SM-runs,0.0480390838451,0.966425444474,0.057071255673,-10,0.3,3
9,5,5,0.009,0.003577708764,0.00359517555749,0.99494390169,9.7584,0.211901014627,SM-runs,0.99494390169,0.998410205676,0.995518111342,-10,0.3,5
9,5,5,0.0077,0.00464865571967,0.00295857513045,0.99542761605,9.7872,0.113788224347,SM-runs,0.99542761605,0.99870521626,0.995970358936,-10,0.3,100
