Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
4,5,5,0.149966666667,0.0246068870215,0.0854753125806,0.97150240929,16.9333333333,0.249443825785,M-runs,0.97150240929,0.962874430086,0.970041602114
4,5,5,0.1012,0.0741590183322,0.0588295105877,0.986009683749,9.83333333333,0.81989159175,SM-runs,0.986009683749,0.974166650795,0.983951023335
4,10,5,0.0530333333333,0.0146934981842,0.0324737291586,0.996553747064,44.0,0.0,Baseline,0.996553747064,0.985433483829,0.994680226618
4,10,5,0.0440666666667,0.0120497118453,0.0261787623342,0.995052711573,34.5333333333,0.49888765157,M-runs,0.995052711573,0.9882776696,0.993914978086
4,10,5,0.0616,0.0265375206076,0.0338632166799,0.98702418017,11.6666666667,0.596284794,SM-runs,0.98702418017,0.984801297663,0.986638770519
5,3,5,0.3187,0.036479354892,0.189922255575,0.96214398626,13.0,0.0,Baseline,0.96214398626,0.919220756351,0.954695697563
5,3,5,0.2867,0.0440304061606,0.158439057972,0.938997194707,10.0,0.0,M-runs,0.938997194707,0.930047328766,0.937436441436
5,3,5,0.1014,0.0436375984674,0.0605586100809,0.987816723656,8.7,1.29486163997,SM-runs,0.987816723656,0.973644472775,0.985407044423
5,5,5,0.152466666667,0.0274708734643,0.0911951032608,0.983396901738,22.0,0.0,Baseline,0.983396901738,0.960152778742,0.979432146892
5,5,5,0.1426,0.0310457726591,0.0807754606626,0.974777683723,17.0333333333,0.179505493571,M-runs,0.974777683723,0.96417893841,0.972969125904
5,5,5,0.0672333333333,0.0312139747905,0.0393800819576,0.990234219827,9.7,0.936304793679,SM-runs,0.990234219827,0.982694872225,0.988961292297
5,10,5,0.0389,0.0149004474206,0.0242440533313,0.997724429621,45.0,0.0,Baseline,0.997724429621,0.989309333919,0.996309150493
5,10,5,0.0288666666667,0.0112479133867,0.0171122385746,0.99634683239,35.2,0.4,M-runs,0.99634683239,0.992425707638,0.995688786598
5,10,5,0.0525,0.021611339616,0.0298571814759,0.990364339679,11.0,0.632455532034,SM-runs,0.990364339679,0.986839629687,0.989767287844
6,3,5,0.284966666667,0.0386777139391,0.168972018873,0.964909637701,13.0,0.0,Baseline,0.964909637701,0.927540334316,0.958447215304
6,3,5,0.249466666667,0.0347358924201,0.13912392821,0.949466120717,10.0,0.0,M-runs,0.949466120717,0.938664929478,0.947617098173
6,3,5,0.0796,0.0430887456304,0.0467619011934,0.989734565716,8.1,0.869865890047,SM-runs,0.989734565716,0.979326549476,0.987960067102
6,5,5,0.125766666667,0.0255142879362,0.0755933597434,0.986361769984,23.0,0.0,Baseline,0.986361769984,0.967052579132,0.983080308929
6,5,5,0.114766666667,0.0264230749325,0.0663257753113,0.981519177891,17.7333333333,0.442216638714,M-runs,0.981519177891,0.970881260328,0.979715944664
6,5,5,0.0666,0.0398535652943,0.038884644067,0.990949735858,8.9,0.907377172588,SM-runs,0.990949735858,0.98275895459,0.989555362579
6,10,5,0.0308666666667,0.0140017459229,0.0194624543656,0.998501462995,46.0,0.0,Baseline,0.998501462995,0.991459143934,0.997318434364
6,10,5,0.0201,0.0109585582993,0.0118621048746,0.997203210016,35.8333333333,0.453382350291,M-runs,0.997203210016,0.994773777137,0.996796104406
6,10,5,0.0564333333333,0.0221324548018,0.0338528080293,0.992431870028,10.1333333333,1.02415276638,SM-runs,0.992431870028,0.985448631932,0.991255562792
7,3,5,0.243766666667,0.0411952127747,0.142575853549,0.970730443865,14.0,0.0,Baseline,0.970730443865,0.937094317571,0.964937274598
7,3,5,0.2245,0.0343673779428,0.124823005666,0.957522982515,10.5333333333,0.49888765157,M-runs,0.957522982515,0.943915382628,0.955208038976
7,3,5,0.0923666666667,0.049698748028,0.0554424682162,0.991932508114,7.46666666667,1.05619863452,SM-runs,0.991932508114,0.975288155646,0.989090304748
7,5,5,0.1176,0.0230197017067,0.0708636769839,0.988036584699,23.0,0.0,Baseline,0.988036584699,0.968998880876,0.984801204686
7,5,5,0.100933333333,0.0231659712126,0.0578982153897,0.983220555173,18.0333333333,0.179505493571,M-runs,0.983220555173,0.974395421171,0.981730992856
7,5,5,0.0549,0.0288031826945,0.0317192427147,0.990958028624,8.33333333333,0.942809041582,SM-runs,0.990958028624,0.986063511787,0.990129834651
7,10,5,0.0239,0.0118190524155,0.014812363659,0.998456299564,47.0,0.0,Baseline,0.998456299564,0.993435185561,0.997614494038
7,10,5,0.0195333333333,0.00874731704899,0.0120487257887,0.998509311337,36.9333333333,0.249443825785,M-runs,0.998509311337,0.994682736017,0.997868070618
7,10,5,0.0410666666667,0.0199431413997,0.023442201014,0.99291483234,9.76666666667,0.919540948276,SM-runs,0.99291483234,0.989591898627,0.992355000414
8,3,5,0.233,0.0321807395813,0.137115735626,0.973747861088,14.0,0.0,Baseline,0.973747861088,0.93954638086,0.967860950845
