Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,pow_term,theta,M
2,5,5,0.0247,0.0116107708616,0.00788484741489,0.995927945834,8.1909,0.21263934255,SM-runs,0.995927945834,0.989031607985,0.994769368983,10,0.3,5
2,5,5,0.0217,0.0125940462124,0.00693336744786,0.995900339266,8.1806,0.11660120068,SM-runs,0.995900339266,0.990593112281,0.995009073527,10,0.3,10
2,5,5,0.026,0.0111445053726,0.00808748352457,0.993970650801,8.1655,0.246598965935,SM-runs,0.993970650801,0.988816818218,0.993104491839,10,0.3,100
2,5,5,0.0349,0.0355146448666,0.00411104795461,0.840025201411,5.6874,0.770276859317,SM-runs,0.840025201411,0.915568637669,0.846748737287,10,0.8,3
2,5,5,0.0242,0.00666033032214,0.00400123879973,0.937674404578,5.9453,0.35055243545,SM-runs,0.937674404578,0.962911607333,0.941633700509,10,0.8,5
2,5,5,0.0205,0.0118595952713,0.0037793353529,0.963571849024,6.279,0.579647479077,SM-runs,0.963571849024,0.965828249926,0.963811901026,10,0.8,10
2,5,5,0.0216,0.00705974503789,0.00379639199753,0.95492486836,6.3447,0.343881971031,SM-runs,0.95492486836,0.967155312772,0.956658704705,10,0.8,100
2,5,5,0.3325,0.158709955579,0.00381713426446,0.235444833621,4.365,1.92515807143,SM-runs,0.235444833621,0.92232012609,0.242124390927,-10,0.3,3
2,5,5,0.0274,0.0156601404847,0.00891738713873,0.995429758536,7.926,0.432797181137,SM-runs,0.995429758536,0.988177302513,0.994205034816,-10,0.3,5
2,5,5,0.0203,0.00734914961067,0.00623223825833,0.994585547167,8.1864,0.175778383199,SM-runs,0.994585547167,0.99149289873,0.994066927956,-10,0.3,10
2,5,5,0.0248,0.0114350338871,0.00813500561363,0.996940081121,8.1677,0.210372075143,SM-runs,0.996940081121,0.988963649132,0.995597230051,-10,0.3,100
2,5,5,0.0214,0.00997196068985,0.00322065337092,0.932262083448,6.034,0.203801373891,SM-runs,0.932262083448,0.970103466238,0.938233382636,-10,0.8,3
2,5,5,0.0238,0.00565331761004,0.0039017394394,0.938118954496,5.9199,0.124472848445,SM-runs,0.938118954496,0.964519167142,0.942340997998,-10,0.8,5
2,5,5,0.0247,0.0115676272416,0.0040087758202,0.935704332271,5.916,0.308681713096,SM-runs,0.935704332271,0.964542571068,0.940019668394,-10,0.8,10
2,5,5,0.0226,0.0104613574645,0.00354010181367,0.931322243176,5.8122,0.346752591915,SM-runs,0.931322243176,0.965382793035,0.936745953973,-10,0.8,100
2,5,5,0.2872,0.174558758016,0.00308847452309,0.336482645346,4.8866,2.27184661454,SM-runs,0.336482645346,0.972004920672,0.343229399837,gt,0.3,3
2,5,5,0.0275,0.00745989276062,0.00887003353991,0.995284879913,8.2044,0.122300613245,SM-runs,0.995284879913,0.988091526474,0.994074631633,gt,0.3,5
2,5,5,0.0185,0.00820060973343,0.00606901906077,0.997665242331,8.2162,0.126656069732,SM-runs,0.997665242331,0.991776623676,0.996677012595,gt,0.3,10
2,5,5,0.0174,0.0108092552935,0.00532218605044,0.995455237134,8.1183,0.217066833026,SM-runs,0.995455237134,0.992592750603,0.994975606407,gt,0.3,100
2,5,5,0.031,0.0299666481275,0.00358111399326,0.865443324484,5.7569,0.845624910939,SM-runs,0.865443324484,0.950857604743,0.868683981847,gt,0.8,3
2,5,5,0.0241,0.00814186710773,0.00411824777614,0.943780501979,5.9768,0.467813381596,SM-runs,0.943780501979,0.962508060371,0.946708488018,gt,0.8,5
2,5,5,0.0288,0.0157213230995,0.00479181528997,0.929604896345,5.8948,0.138593506341,SM-runs,0.929604896345,0.957221946251,0.93392267971,gt,0.8,10
2,5,5,0.0241,0.0084669947443,0.00401172246209,0.9415212826,5.9358,0.126414239704,SM-runs,0.9415212826,0.964126786579,0.945118460575,gt,0.8,100
2,5,5,0.26,0.171392531926,0.00821371035017,0.42494094016,5.173,2.16963577588,SM-runs,0.42494094016,0.958157524441,0.428479114934,est,0.3,3
2,5,5,0.0415,0.0167943442861,0.0139807055034,0.99649379488,7.8632,0.308424642336,SM-runs,0.99649379488,0.981618745104,0.993975172594,est,0.3,5
2,5,5,0.0504,0.0181890076695,0.0172823663473,0.997851122991,7.8356,0.327319171452,SM-runs,0.997851122991,0.977342620452,0.99436138158,est,0.3,10
2,5,5,0.0329,0.0109494292089,0.0107939211295,0.995484091745,7.7864,0.347038960349,SM-runs,0.995484091745,0.985566013847,0.993812482752,est,0.3,100
2,5,5,0.0656,0.0433870948555,0.00188123346155,0.418121795262,4.4777,1.34275940138,SM-runs,0.418121795262,0.8706467919,0.426872215872,est,0.8,3
2,5,5,0.0217,0.0130770791846,0.00422759336207,0.972899543459,6.3396,0.410449314776,SM-runs,0.972899543459,0.963655857321,0.971029068708,est,0.8,5
2,5,5,0.0288,0.015967466925,0.00478251929413,0.93447517534,5.9849,1.2280943327,SM-runs,0.93447517534,0.957442054582,0.93591522945,est,0.8,10
2,5,5,0.0261,0.0155141870557,0.0044626421929,0.9392598781,6.1583,0.847788658806,SM-runs,0.9392598781,0.961421564176,0.940680541063,est,0.8,100
3,5,5,0.035,0.0141209064865,0.0113589053773,0.995167336919,5.8492,0.300449596438,SM-runs,0.995167336919,0.984405164703,0.993354073726,10,0.3,3
3,5,5,0.0333,0.0108724422279,0.010632954831,0.994456793741,5.7419,0.216867447995,SM-runs,0.994456793741,0.985256242255,0.992908604332,10,0.3,5
3,5,5,0.0334,0.0132227077409,0.0110438732963,0.995522895657,5.9071,0.214645964323,SM-runs,0.995522895657,0.985496126744,0.99382507191,10,0.3,10
3,5,5,0.0363,0.0103445637897,0.0114235012001,0.993211059486,5.861,0.336071123425,SM-runs,0.993211059486,0.983936698349,0.991650605406,10,0.3,100
3,5,5,0.0219,0.00893812060782,0.00354622257808,0.939173643247,4.192,0.497607274866,SM-runs,0.939173643247,0.966079493511,0.943516965933,10,0.8,3
3,5,5,0.0238,0.00727736215946,0.00402025534985,0.942841513102,4.3577,0.529237007398,SM-runs,0.942841513102,0.964580453876,0.946306425309,10,0.8,5
3,5,5,0.0191,0.00782879301042,0.00288152551707,0.939244924904,3.9897,0.498661017125,SM-runs,0.939244924904,0.972602210802,0.944544783398,10,0.8,10
3,5,5,0.0267,0.0123048770819,0.0041164241684,0.918180320231,4.1809,0.504446121999,SM-runs,0.918180320231,0.961674219434,0.925087109039,10,0.8,100
3,5,5,0.0321,0.0134643974986,0.0100990218279,0.993672208108,5.6127,0.372662863725,SM-runs,0.993672208108,0.985937843767,0.992361462421,-10,0.3,3
3,5,5,0.0399,0.00751598296965,0.0132671306051,0.995561347174,5.7816,0.303412326711,SM-runs,0.995561347174,0.982440850664,0.993348778191,-10,0.3,5
3,5,5,0.0394,0.0168237926759,0.0128767576704,0.995423658502,5.7635,0.310756254965,SM-runs,0.995423658502,0.982323471797,0.993203451247,-10,0.3,10
3,5,5,0.0397,0.0192460385534,0.0129864324542,0.994849197358,5.8026,0.346012196317,SM-runs,0.994849197358,0.982499692278,0.992755857881,-10,0.3,100
3,5,5,0.0226,0.00867409937688,0.00323046329737,0.921133613293,3.8669,0.150131575626,SM-runs,0.921133613293,0.970406447301,0.928895026296,-10,0.8,3
3,5,5,0.023,0.00909945053286,0.00356139706058,0.929280429195,3.7385,0.0963319780758,SM-runs,0.929280429195,0.967060779222,0.935338708626,-10,0.8,5
3,5,5,0.0285,0.013070960179,0.00413175708483,0.900121639178,3.8625,0.163665054303,SM-runs,0.900121639178,0.961941085489,0.909705114854,-10,0.8,10
3,5,5,0.0216,0.00585149553533,0.00312166812758,0.928025717354,3.8007,0.104989570911,SM-runs,0.928025717354,0.971667185826,0.934881224651,-10,0.8,100
3,5,5,0.0409,0.0118781311661,0.0133312822252,0.994291231363,5.7376,0.275087695108,SM-runs,0.994291231363,0.981978139782,0.992213061191,gt,0.3,3
3,5,5,0.0318,0.0179432438539,0.0102148611684,0.994583776657,5.9126,0.265746194705,SM-runs,0.994583776657,0.986178235881,0.993167199221,gt,0.3,5
3,5,5,0.0326,0.00510294032887,0.0103170691342,0.993755879229,5.6408,0.262185354282,SM-runs,0.993755879229,0.985768674104,0.992412231359,gt,0.3,10
3,5,5,0.0401,0.0100940576578,0.0129103113814,0.993764874511,5.7349,0.29046082352,SM-runs,0.993764874511,0.982305640626,0.991832861094,gt,0.3,100
3,5,5,0.0194,0.0078,0.00288077835239,0.935925781588,3.9383,0.294535923106,SM-runs,0.935925781588,0.972317788623,0.941644884234,gt,0.8,3
3,5,5,0.0155,0.00640702739186,0.00200064496191,0.935112994151,3.7567,0.104665228228,SM-runs,0.935112994151,0.9812503499,0.942275162356,gt,0.8,5
3,5,5,0.0235,0.00576628129734,0.00344919190762,0.922493044184,3.9108,0.374575439665,SM-runs,0.922493044184,0.967960715098,0.929627500585,gt,0.8,10
3,5,5,0.0197,0.00558659108939,0.00312645043227,0.945962845799,3.8581,0.282530511627,SM-runs,0.945962845799,0.97247415166,0.950106101067,gt,0.8,100
3,5,5,0.0326,0.0103460137251,0.0103306501355,0.99376391055,5.8813,0.147907437271,SM-runs,0.99376391055,0.985801041802,0.992422963673,est,0.3,3
3,5,5,0.0364,0.00806473806146,0.0114944162999,0.994133481798,5.7535,0.29133185545,SM-runs,0.994133481798,0.983537197907,0.992340551622,est,0.3,5
3,5,5,0.0321,0.00963794583923,0.0102233569868,0.994878967334,5.9378,0.106032825106,SM-runs,0.994878967334,0.985620334498,0.99331867389,est,0.3,10
3,5,5,0.0318,0.0143513065607,0.0102918392745,0.994619924747,5.9657,0.145113093827,SM-runs,0.994619924747,0.986303014615,0.99321801877,est,0.3,100
3,5,5,0.0267,0.0257955422506,0.00291891577703,0.870408761481,4.7075,0.528389108518,SM-runs,0.870408761481,0.966794887996,0.874270650253,est,0.8,3
3,5,5,0.0186,0.00813879597975,0.00334285313661,0.965618235472,4.9541,0.320603321879,SM-runs,0.965618235472,0.97082303083,0.9663572144,est,0.8,5
3,5,5,0.0227,0.0170824471315,0.00354179590519,0.928075314599,4.925,0.584339456138,SM-runs,0.928075314599,0.96417254727,0.932383344754,est,0.8,10
3,5,5,0.0213,0.0136165340671,0.00335650220619,0.94079489676,4.9856,0.679482038026,SM-runs,0.94079489676,0.970381820177,0.944362087574,est,0.8,100
4,5,5,0.0237,0.0113141504321,0.00715988254799,0.993492006581,5.1175,0.0848872781988,SM-runs,0.993492006581,0.989903903928,0.992884471515,10,0.3,3
4,5,5,0.0177,0.0093813645063,0.00554168565929,0.995947076209,5.0406,0.0785445096745,SM-runs,0.995947076209,0.992401732778,0.995351085827,10,0.3,5
4,5,5,0.0181,0.00773886296558,0.00553132603876,0.995074319278,5.0516,0.112527507748,SM-runs,0.995074319278,0.992424046123,0.994629864021,10,0.3,10
4,5,5,0.0171,0.00781600921187,0.00517029409533,0.994952628163,5.0676,0.0697541396621,SM-runs,0.994952628163,0.992860249541,0.994601536141,10,0.3,100
4,5,5,0.0149,0.00768700201639,0.00224458303739,0.954236501518,3.5199,0.0931584134687,SM-runs,0.954236501518,0.981130082871,0.958557450714,10,0.8,3
4,5,5,0.0162,0.0101862652626,0.00244635040094,0.948268119891,3.4883,0.0909121004047,SM-runs,0.948268119891,0.977660214741,0.952972942062,10,0.8,5
4,5,5,0.0225,0.00783900503891,0.00368609704527,0.941688987909,3.5315,0.0864236657404,SM-runs,0.941688987909,0.967824361344,0.945812119696,10,0.8,10
4,5,5,0.0189,0.00604069532422,0.00300589481097,0.945732105561,3.5051,0.140643129942,SM-runs,0.945732105561,0.972679920381,0.950035275689,10,0.8,100
4,5,5,0.0153,0.0102279030109,0.00464357377117,0.995719624558,5.0749,0.0883848968999,SM-runs,0.995719624558,0.993575415394,0.995357109284,-10,0.3,3
4,5,5,0.0163,0.010696261029,0.00498201362266,0.995686558659,5.0398,0.0912828570981,SM-runs,0.995686558659,0.993085612538,0.99524694348,-10,0.3,5
4,5,5,0.0138,0.0079724525712,0.00434313384966,0.996931704419,5.0246,0.0902853254965,SM-runs,0.996931704419,0.994123495635,0.996459470064,-10,0.3,10
4,5,5,0.0217,0.0124422666745,0.00674899044883,0.994837769752,5.0691,0.101152805201,SM-runs,0.994837769752,0.99081586628,0.994159564333,-10,0.3,100
4,5,5,0.0211,0.0108115678789,0.00346289439626,0.94620106562,3.5086,0.0639471656917,SM-runs,0.94620106562,0.969960074308,0.949928809984,-10,0.8,3
4,5,5,0.0231,0.0127706695204,0.00347922005313,0.928653253954,3.5032,0.129312644393,SM-runs,0.928653253954,0.970176321695,0.935268754724,-10,0.8,5
4,5,5,0.0166,0.00966643677888,0.00235026845196,0.941288207013,3.5406,0.108864319224,SM-runs,0.941288207013,0.979569550199,0.947336422176,-10,0.8,10
4,5,5,0.0134,0.00772269383052,0.00188917451837,0.951077416061,3.5313,0.129682728225,SM-runs,0.951077416061,0.982480908402,0.956094615594,-10,0.8,100
4,5,5,0.0166,0.0114647285184,0.00476659036287,0.993713853602,5.0501,0.0673490163254,SM-runs,0.993713853602,0.993228668463,0.99363084213,gt,0.3,3
4,5,5,0.0262,0.0114786758818,0.0083908765796,0.995914687912,5.0819,0.0890521757174,SM-runs,0.995914687912,0.988316831621,0.994634221626,gt,0.3,5
4,5,5,0.0239,0.0125095963164,0.00762506037573,0.995487083643,5.026,0.0610262238714,SM-runs,0.995487083643,0.989664956536,0.994508962792,gt,0.3,10
4,5,5,0.0184,0.00601996677732,0.00584612570368,0.996619531222,5.05,0.104559074212,SM-runs,0.996619531222,0.991907397903,0.995829255554,gt,0.3,100
4,5,5,0.0161,0.00631585306986,0.00234601955044,0.946068701136,3.5592,0.0602989220467,SM-runs,0.946068701136,0.979283119546,0.951400567377,gt,0.8,3
